member,Fy,span_ft,w_asd_plf,footnote
800S162-33,33,10,153.0,e
800S162-33,33,12,106.0,e
800S200-33,33,3,632.0,e
800S200-33,33,4,474.0,e
800S200-33,33,5,379.0,e
800S200-33,33,6,316.0,e
800S200-33,33,8,237.0,e
800S200-33,33,10,174.0,e
800S200-33,33,12,121.0,e
800S137-43,33,3,1401.0,e
800S137-43,33,4,1051.0,e
800S137-43,33,5,841.0,e
800S137-43,33,6,641.0,e
800S137-43,33,8,361.0,e
800S137-43,33,10,231.0,e
800S137-43,33,12,160.0,e
800S162-43,33,3,1401.0,e
800S162-43,33,4,1051.0,e
800S162-43,33,5,841.0,e
800S162-43,33,6,701.0,e
800S162-43,33,8,412.0,e
800S162-43,33,10,264.0,e
800S162-43,33,12,183.0,e
800S200-43,33,3,1401.0,e
800S200-43,33,4,1051.0,e
800S200-43,33,5,841.0,e
800S200-43,33,6,701.0,e
800S200-43,33,8,526.0,e
800S200-43,33,10,339.0,e
800S200-43,33,12,236.0,e
800S250-43,33,3,1401.0,e
800S250-43,33,4,1051.0,e
800S250-43,33,5,841.0,e
800S250-43,33,6,701.0,e
800S250-43,33,8,526.0,e
800S250-43,33,10,341.0,e
800S250-43,33,12,237.0,e
800S137-54,33,3,2788.0,e
800S137-54,33,4,1916.0,e
800S137-54,33,5,1226.0,e
800S137-54,33,6,852.0,e
800S137-54,33,8,479.0,e
800S137-54,33,10,307.0,e
800S137-54,33,12,213.0,e
800S137-54,50,3,2788.0,e
800S137-54,50,4,2091.0,e
800S137-54,50,5,1673.0,e
800S137-54,50,6,1173.0,e
800S137-54,50,8,660.0,e
800S137-54,50,10,422.0,e
800S137-54,50,12,252.0,e
800S162-54,33,3,2788.0,e
800S162-54,33,4,2091.0,e
800S162-54,33,5,1391.0,e
800S162-54,33,6,966.0,e
800S162-54,33,8,543.0,e
800S162-54,33,10,348.0,e
800S162-54,33,12,241.0,e
800S162-54,50,3,2788.0,e
800S162-54,50,4,2091.0,e
800S162-54,50,5,1673.0,e
